2025-06-15 11:35:02 | INFO | LocalBooks API 服务关闭中...
2025-06-15 11:35:02 | INFO | LocalBooks API 服务关闭中...
2025-06-15 11:35:07 | INFO | LocalBooks API 服务启动中...
2025-06-15 11:35:07 | INFO | LocalBooks API 服务启动中...
2025-06-15 11:35:07 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 11:35:07 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 11:35:07 | INFO | 数据库初始化完成
2025-06-15 11:35:07 | INFO | 数据库初始化完成
2025-06-15 13:05:30 | INFO | LocalBooks API 服务关闭中...
2025-06-15 13:05:30 | INFO | LocalBooks API 服务关闭中...
2025-06-15 13:05:37 | INFO | LocalBooks API 服务启动中...
2025-06-15 13:05:37 | INFO | LocalBooks API 服务启动中...
2025-06-15 13:05:37 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 13:05:37 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 13:05:37 | INFO | 数据库初始化完成
2025-06-15 13:05:37 | INFO | 数据库初始化完成
2025-06-15 14:36:07 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:07 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:07 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:07 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:07 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:07 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:08 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:09 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:10 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:10 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:10 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 14:36:10 | ERROR | 搜索小说失败: 404: 规则不存在: 1
2025-06-15 17:51:17 | INFO | LocalBooks API 服务关闭中...
2025-06-15 17:51:17 | INFO | LocalBooks API 服务关闭中...
2025-06-15 17:51:25 | INFO | LocalBooks API 服务启动中...
2025-06-15 17:51:25 | INFO | LocalBooks API 服务启动中...
2025-06-15 17:51:25 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 17:51:25 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalBooks-main\backend\data\LocalBooks.db
2025-06-15 17:51:25 | INFO | 数据库初始化完成
2025-06-15 17:51:25 | INFO | 数据库初始化完成
2025-06-15 17:53:53 | INFO | LocalNovel API 服务关闭中...
2025-06-15 17:53:53 | INFO | LocalNovel API 服务关闭中...
2025-06-15 17:53:57 | INFO | LocalBooks API 服务启动中...
2025-06-15 17:53:57 | INFO | LocalBooks API 服务启动中...
2025-06-15 17:53:57 | INFO | 已插入默认设置
2025-06-15 17:53:57 | INFO | 已插入默认设置
2025-06-15 17:53:57 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalNovel-main\backend\data\LocalBooks.db
2025-06-15 17:53:57 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalNovel-main\backend\data\LocalBooks.db
2025-06-15 17:53:57 | INFO | 数据库初始化完成
2025-06-15 17:53:57 | INFO | 数据库初始化完成
2025-06-15 17:54:23 | INFO | LocalBooks API 服务关闭中...
2025-06-15 17:54:23 | INFO | LocalBooks API 服务关闭中...
2025-06-15 17:54:30 | INFO | LocalBooks API 服务启动中...
2025-06-15 17:54:30 | INFO | LocalBooks API 服务启动中...
2025-06-15 17:54:30 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalNovel-main\backend\data\LocalBooks.db
2025-06-15 17:54:30 | INFO | 数据库初始化成功: D:\Project-DATA\001-new\LocalNovel-main\backend\data\LocalBooks.db
2025-06-15 17:54:30 | INFO | 数据库初始化完成
2025-06-15 17:54:30 | INFO | 数据库初始化完成
